date,stationID,number_of_users,average_power_usage
2019-10-15,2-39-79-380,1,0.0745874170557877
2019-10-15,2-39-79-382,1,0.154830037082818
2019-10-15,2-39-79-383,1,0.680857833101302
2019-10-15,2-39-88-24,1,0.294393144081414
2019-10-15,2-39-88-438,2,1.10706969272894
2019-10-15,2-39-89-25,1,0.109966957396847
2019-10-15,2-39-90-26,2,1.63201140678719
2019-10-15,2-39-90-440,1,2.19088484602094
2019-10-15,2-39-91-437,1,3.22137174742356
2019-10-15,2-39-92-436,1,2.49004605629102
2019-10-15,2-39-92-442,1,3.51071815181518
2019-10-15,2-39-95-27,2,0.14974916070586
2019-10-16,2-39-123-23,3,1.8503678206293
2019-10-16,2-39-124-22,1,1.402
2019-10-16,2-39-129-17,1,4.95479688666169
2019-10-16,2-39-139-28,2,1.17384902364254
2019-10-16,2-39-78-360,1,0.0771038195094551
2019-10-16,2-39-78-361,1,0.144384334719024
2019-10-16,2-39-78-362,1,0.925698514766972
2019-10-16,2-39-78-364,1,0.202199240792039
2019-10-16,2-39-78-365,1,2.03463905799423
2019-10-16,2-39-78-366,1,0.122239988264633
2019-10-16,2-39-78-367,1,3.16750474023434
2019-10-16,2-39-79-376,1,0.887338762214984
2019-10-16,2-39-79-377,1,1.29203146374829
2019-10-16,2-39-79-378,2,0.922482775546673
2019-10-16,2-39-79-379,2,1.3931015894799
2019-10-16,2-39-79-380,2,0.409359040946974
2019-10-16,2-39-79-382,1,5.16982310469314
2019-10-16,2-39-79-383,1,0.249054625984252
2019-10-16,2-39-83-386,1,1.88868263381995
2019-10-16,2-39-88-24,2,3.1185860035329
2019-10-16,2-39-89-25,2,1.26624390533301
2019-10-16,2-39-90-26,1,2.17125918225918
2019-10-16,2-39-90-440,1,0.0653626796195102
2019-10-16,2-39-91-437,1,1.584
2019-10-16,2-39-92-436,1,4.73625107672675
2019-10-16,2-39-95-27,1,0.599428915662651
2019-10-16,2-39-95-444,3,0.991715510832349
2019-10-17,2-39-123-23,1,0.367606837606838
2019-10-17,2-39-124-22,1,0.14397347266881
2019-10-17,2-39-125-21,2,2.95411866884852
2019-10-17,2-39-126-20,1,2.76920650684932
2019-10-17,2-39-127-19,3,0.79746089341699
2019-10-17,2-39-129-17,1,6.42030627748901
2019-10-17,2-39-129-563,1,0.867338151494093
2019-10-17,2-39-131-30,1,0.0191486535442579
2019-10-17,2-39-139-28,2,1.58852236614915
2019-10-17,2-39-78-363,1,2.62571637248935
2019-10-17,2-39-78-364,2,1.91517189089771
2019-10-17,2-39-78-365,1,0.318902468430738
2019-10-17,2-39-78-366,1,0.888546482728812
2019-10-17,2-39-79-376,1,0.0359051791933491
2019-10-17,2-39-79-377,1,0.315784492588369
2019-10-17,2-39-79-378,1,0.165358526982166
2019-10-17,2-39-79-379,1,1.87427159731336
2019-10-17,2-39-79-380,2,0.0899963631461147
2019-10-17,2-39-79-381,1,1.368
2019-10-17,2-39-79-383,1,1.42561556134171
2019-10-17,2-39-88-24,2,1.3345
2019-10-17,2-39-88-438,1,0.0469486888292381
2019-10-17,2-39-89-25,1,1.70719093100063
2019-10-17,2-39-90-26,1,0.273273813367775
2019-10-17,2-39-90-440,1,1.79490966057441
2019-10-17,2-39-91-437,1,0.0451839467252311
2019-10-17,2-39-91-441,1,2.84368018204386
2019-10-17,2-39-92-442,1,6.06293259395472
2019-10-17,2-39-95-27,1,4.39383474352195
2019-10-17,2-39-95-444,1,0.305020518776616
