"date","session_time","stationID","number_of_users","average_power_usage"
4302493-08-16,"15:00:00","2-39-92-436",1,6.25003017501509
4302503-06-26,"16:00:00","2-39-78-365",1,6.36278247199843
4302700-08-12,"12:00:00","2-39-79-380",1,0.605861456483126
4302710-06-21,"13:00:00","2-39-79-380",1,0.790221066319896
4303282-02-21,"23:00:00","2-39-139-28",1,2.27531030569544
4303429-12-28,"14:00:00","2-39-123-23",1,5.24568764568765
4303429-12-28,"14:00:00","2-39-91-437",1,6.49589533932952
4303449-09-14,"16:00:00","2-39-88-438",1,6.5411865312667
4303646-10-31,"12:00:00","2-39-95-27",1,1.7225636523266
4303686-04-04,"16:00:00","2-39-79-380",1,0.148105185549275
4303903-02-07,"14:00:00","2-39-123-23",1,3.14558972625887
4304248-01-29,"01:00:00","2-39-138-29",1,1.84823962165003
4304376-03-18,"14:00:00","2-39-95-27",1,4.22457831325301
4305085-11-16,"14:00:00","2-39-88-24",1,1.20323076923077
4305085-11-16,"14:00:00","2-39-90-26",1,6.80884353741497
4305302-09-20,"12:00:00","2-39-125-21",1,0.84133704735376
4305332-04-15,"15:00:00","2-39-78-366",1,6.01824069790497
4305411-02-21,"23:00:00","2-39-131-30",1,6.10915795943454
4305558-12-27,"14:00:00","2-39-78-366",1,6.00435635792779
4305568-11-04,"15:00:00","2-39-90-26",1,3.31652605459057
4305578-09-13,"16:00:00","2-39-79-380",1,0.23179988952892
4306071-07-10,"18:00:00","2-39-78-367",1,0.157190402861259
4306091-03-27,"20:00:00","2-39-139-28",1,6.73651329674968
4306505-03-17,"14:00:00","2-39-139-28",1,6.83793405310767
4306574-03-15,"21:00:00","2-39-131-30",1,2.80875
4306761-06-23,"16:00:00","2-39-78-363",1,2.94819177759453
4306781-03-10,"18:00:00","2-39-78-367",1,6.0978670012547
4306791-01-17,"19:00:00","2-39-90-26",1,6.61000725163162
4307067-01-10,"23:00:00","2-39-131-30",1,6.77145102147721
4307195-02-28,"12:00:00","2-39-78-363",1,6.66516072980017
4307244-06-10,"17:00:00","2-39-79-380",1,0.180137509549274
4307697-11-02,"15:00:00","2-39-78-361",1,3.8
4307697-11-02,"15:00:00","2-39-78-366",1,3.43918053777209
4307717-07-21,"17:00:00","2-39-78-364",1,1.60485021398003
4307717-07-21,"17:00:00","2-39-91-441",1,6.26430693708823
4308407-07-04,"14:00:00","2-39-90-26",1,0.718833873206849
4308427-03-21,"16:00:00","2-39-131-30",1,1.51745721271394
4308900-04-30,"16:00:00","2-39-78-367",1,2.45738995070483
4309087-08-08,"11:00:00","2-39-89-25",1,0.57125
4309097-06-16,"12:00:00","2-39-123-23",1,1.14259193145305
4309107-04-26,"13:00:00","2-39-123-23",1,1.32470187393526
4309117-03-04,"14:00:00","2-39-78-363",1,1.81074335322843
4309117-03-04,"14:00:00","2-39-78-365",1,0.417546468401487
4309117-03-04,"14:00:00","2-39-88-24",1,6.76337760910816
4309146-09-28,"17:00:00","2-39-90-26",1,0.382560214094558
4309146-09-28,"17:00:00","2-39-90-440",1,3.64227212681638
4309156-08-06,"18:00:00","2-39-89-25",1,0.327093811502296
4309156-08-06,"18:00:00","2-39-95-444",1,2.17570322054627
4309343-11-14,"13:00:00","2-39-90-26",1,0.490449737897009
4309383-04-18,"17:00:00","2-39-78-367",1,6.16050217286335
4309649-06-02,"20:00:00","2-39-131-30",1,5.58434637801832
4310053-07-14,"13:00:00","2-39-78-362",1,3.17053182214473
4310073-03-31,"15:00:00","2-39-79-376",1,2.05532056250692
4310092-12-16,"17:00:00","2-39-78-361",1,0.165497808390733
4310112-09-03,"19:00:00","2-39-78-361",1,0.585857062040355
